sample_id,BART_post_rouge1,T5large_post_rouge1,BART_post_rouge2,T5large_post_rouge2,BART_post_rougel,T5large_post_rougel,BART_post_bleu,T5large_post_bleu,BART_post_meteor,T5large_post_meteor
58,0.5057471264367815,0.6153846153846154,0.2117647058823529,0.2631578947368421,0.41379310344827586,0.5128205128205128,0.0842816865856957,0.021285176991151816,0.35197751264233257,0.3356894157706343
59,0.3157894736842105,0.6222222222222222,0.10810810810810809,0.46511627906976744,0.2105263157894737,0.6222222222222222,0.027142760758873147,0.247192792472822,0.26449017568824906,0.4660582108779668
60,0.4166666666666667,0.4651162790697675,0.10638297872340426,0.1904761904761905,0.25,0.3023255813953488,0.0669537460987888,0.08076943041793481,0.19427402862985685,0.3106471816283925
61,0.36363636363636365,0.19999999999999998,0.125,0.04166666666666667,0.2727272727272727,0.15999999999999998,0.018256517093880095,0.018272664875356538,0.32237354085603115,0.1537190082644628
62,0.5714285714285714,0.576271186440678,0.13333333333333333,0.14035087719298248,0.3116883116883116,0.33898305084745767,0.038078550433225805,0.011288382276635612,0.37940298507462683,0.335666403785489
63,0.30303030303030304,0.4074074074074074,0.0625,0.11538461538461538,0.2121212121212121,0.2592592592592593,0.030901532587310255,0.010517019382036898,0.24077669902912624,0.26804037938876246
64,0.5161290322580645,0.45,0.2637362637362637,0.15384615384615385,0.4516129032258064,0.325,0.12450235054059636,0.023733751617602526,0.31166140062326864,0.20276107771097748
65,0.35135135135135137,0.5185185185185185,0.19444444444444445,0.30769230769230765,0.2162162162162162,0.3333333333333333,0.07611137668875849,0.1042726172622779,0.2560894227560894,0.32081214435601263
66,0.24096385542168672,0.3209876543209877,0.09876543209876543,0.10126582278481013,0.24096385542168672,0.24691358024691357,0.01728874123127798,0.013469438256331312,0.11194029850746269,0.1371571072319202
67,0.3492063492063492,0.22222222222222224,0.06557377049180327,0.03846153846153846,0.19047619047619047,0.18518518518518517,0.01643434939684039,0.007205335066302803,0.3381818181818182,0.09345794392523364
68,0.4578313253012048,0.3243243243243243,0.1728395061728395,0.05555555555555555,0.40963855421686746,0.18918918918918917,0.03248913034272643,0.012861506171212227,0.2781231442992874,0.14208044216154514
69,0.5882352941176471,0.3384615384615384,0.3614457831325301,0.22222222222222224,0.3764705882352941,0.3384615384615384,0.16900153025370454,0.039825696112811726,0.5786032815491626,0.2137489456330036
70,0.273972602739726,0.326530612244898,0.08450704225352113,0.1702127659574468,0.19178082191780824,0.2040816326530612,0.009555383603768257,0.018561813742586367,0.15151515151515152,0.14492753623188406
71,0.37681159420289856,0.631578947368421,0.1492537313432836,0.3636363636363637,0.3188405797101449,0.5614035087719299,0.06695900686562911,0.18207052811092134,0.2716871872716028,0.43358236151603496
72,0.5714285714285715,0.40506329113924056,0.4,0.25974025974025977,0.5454545454545455,0.37974683544303794,0.2828696562913071,0.12273033502938982,0.4709881938169376,0.32288048198002606
73,0.21176470588235297,0.0625,0.024096385542168672,0.0,0.1411764705882353,0.0625,0.005015716481729794,0.005474870710453651,0.09433962264150943,0.01694915254237288
74,0.410958904109589,0.4776119402985075,0.30985915492957744,0.276923076923077,0.410958904109589,0.44776119402985076,0.13861101660212471,0.09561650802329855,0.3867073097842328,0.45103092783505155
75,0.24242424242424243,0.20833333333333334,0.10309278350515463,0.0425531914893617,0.1616161616161616,0.125,0.009429247283039352,0.005844941052207697,0.12315538194444446,0.11655011655011653
76,0.47887323943661975,0.3050847457627119,0.2318840579710145,0.24561403508771928,0.4225352112676056,0.3050847457627119,0.14362555317755926,0.09790201506171681,0.41806175595238093,0.19665109034267914
77,0.34693877551020413,0.3953488372093023,0.16666666666666666,0.1904761904761905,0.14285714285714285,0.23255813953488372,0.04396100679967982,0.07000775584486671,0.27508960573476704,0.2947136563876652
78,0.4782608695652174,0.3043478260869565,0.17777777777777776,0.15555555555555556,0.2391304347826087,0.1956521739130435,0.03670497302030555,0.08695659942316884,0.3425930541412387,0.29507679360403954
79,0.5454545454545455,0.34782608695652173,0.40625,0.31818181818181823,0.4848484848484849,0.34782608695652173,0.21741738855233972,0.01855871887123593,0.5402644230769231,0.2924600802664162
80,0.4752475247524752,0.30769230769230765,0.2424242424242424,0.07894736842105263,0.2574257425742574,0.20512820512820512,0.18962033979726695,0.013539286048587165,0.3563070900391475,0.1211453744493392
81,0.3384615384615385,0.31034482758620696,0.15873015873015875,0.07142857142857144,0.27692307692307694,0.2413793103448276,0.01772677765822576,0.01687589360987099,0.2502805836139169,0.2000117481203008
82,0.29473684210526313,0.2727272727272727,0.06451612903225808,0.0697674418604651,0.14736842105263157,0.20454545454545459,0.010393938326032186,0.012030141681991924,0.1664045140189249,0.12875536480686695
83,0.33333333333333337,0.4067796610169492,0.2105263157894737,0.10526315789473685,0.33333333333333337,0.30508474576271183,0.09209528016186676,0.01997352782940349,0.3987919132149902,0.3519981412639405
84,0.4634146341463415,0.4999999999999999,0.15,0.3103448275862069,0.2926829268292683,0.39999999999999997,0.03954263161320086,0.1064220838031774,0.2559839370178724,0.19006202324089255
85,0.22222222222222224,0.23076923076923078,0.020618556701030927,0.026315789473684213,0.1414141414141414,0.12820512820512822,0.005803565809959765,0.006662532280277221,0.11930585683297179,0.10250569476082005
86,0.44680851063829785,0.3174603174603175,0.1956521739130435,0.16393442622950818,0.40425531914893614,0.2857142857142857,0.0168918351148984,0.008637959027223476,0.23359214969827824,0.19827457980068425
87,0.24615384615384617,0.3076923076923077,0.09523809523809522,0.04,0.1846153846153846,0.15384615384615385,0.027060259329508684,0.015021239977027565,0.3107715707964602,0.20018257694314032
